Title,Summary,Cosine Similarity
Alasan Ayu Ting Ting Putuskan Pertunangan dengan Muhammad Fardhana,"Ayu Ting Ting akhirnya buka suara mengenai hubungan dengan Muhammad Fardhana. Ayu Ting Ting memberikan alasan mengapa sampai akhirnya memutuskan pertunangan dengan Muhammad Fardhana. "" Ada hal yang sangat prinsip sekali buat saya yang tidak bisa kami jembatani lagi satu sama lain,"" ungkap Ayu Ting Ting saat ditemui di kawasan Jakarta, Senin 1 Juli 2024 malam. ""Jadi menurut saya karena Allah menjaga saya dan juga Bilqis, saking sayangnya Allah sama saya dan juga Bilqis mungkin ini yang terbaik buat kami masing-masing ya,"" tuturnya lagi. Ayu Ting Ting juga menegaskan selalu ada pertimbangan untuk mengambil sebuah keputusan. Saya nggak mungkin ngambil langkah sejauh ini, ini tuh bukan waktunya saya main-main juga,"" tegasnya lagi. Kamis itu di antara orang tua alhamdulillah sudah secara resmi ya (pertunangan putus)"" jelasnya. Mereka sudah sama-sama sepakat untuk mengakhiri nya. Sejak kapan putusnya pastinya saya nggak tau yang tahu hanya mereka berdua.",0.38942337
Ayu Ting Ting Buka Suara: Pertunangan Saya dan Fardhana Putus,"Setelah ayah Lettu Muhammad Fardhana, Dharsyi Akib, menjelaskan status pertunangan anaknya yang kandas, kini giliran Ayu Ting Ting yang bicara secara langsung. Ayu Ting Ting membenarkan hubungannya dengan Lettu Muhammad Fardhana sudah putus. Pertunangannya dengan Fardhana dinyatakan putus sejak 22 Juni 2024. "" Mungkin banyak masyarakat yang bertanya-tanya dan teman-teman juga ya. Jadi memberi tahu kan bahwa pertunangan saya dan Fardhana sudah dinyatakan putus sejak tanggal 22 Juni itu di antara kami,"" kata Ayu Ting Ting ditemui di Studio Trans 7, Mampang, Jakarta Selatan, Senin 1 Juli 2024 malam. Perempuan berusia 32 tahun itu menjelaskan antara orang tua juga sudah bertemu. Cukup saya, Allah dan teman-teman, keluarga saya yang tahu. Biarkan ini menjadi privasi buat kami,"" ungkapnya. Mungkin ini sudah yang terbaik buat saya dan juga Bilqis. Jadi menurut saya karena Allah menjaga saya dan juga Bilqis, saking sayangnya Allah sama saya dan Bilqis mungkin ini sudah jadi yang terbaik buat kami masing masing,"" tegas Ayu Ting Ting.",0.15103376
"Gritte Agatha Cerita Kehamilan Pertama, Ngidam Banyak Makanan","Artis Gritte Agatha dan suaminya, Arif Hidayat, tengah berbahagia lantaran hamil anak pertama. Persiapan belajar kehamilan, punya anak nanti seperti apa (belajar parenting). Memang program hamil,"" kata Gritte Agatha ditemui di Studio Rumpi No Secret Trans TV pada Rabu 3 Juli 2024. Di awal kehamilan ini, bintang film Ashiap Man itu juga mengalami mual-mual, tapi tak terlalu parah. Bahkan dia masih bisa olahraga agar tak stres. "" Suami nggak membatasi di dunia hiburan, so far so good, tetap aktif olahraga, biar nggak stres,"" katanya. Ngidam bakmi, biasanya Arif yang tentuin. Semenjak hamil, BM (banyak mau) apa saja diturutin suami.",0.82777023
Tawa Shani Indira Natio Ditanya Mau Pacaran atau Nikah Usai Lulus dari JKT48,"Shani Indira Natio resmi lulus dari JKT48 pada 11 Mei 2024. Setelah lulus, Shani merasa lega sekaligus deg-degan. Cewek berusia 25 tahun sempat memikirkan jalan kariernya. "" Sama staf manajemennya sudah dekat, terus dewasa, tumbuh di JKT48, keluar, itu agak aduh gimana ya,"" kata Shani saat menjadi bintang tamu Rumpi: No Secret di Yogyakarta, beberapa hari lalu. Shani sekarang mendapat kepercayaan untuk bergabung di internal JKT48. Ada banyak pelajaran yang didapat oleh Shani saat menjadi member JKT48. Nyatanya, Shani mengaku sebagai orang yang sangat pemalu. "" Kalau aku memang beneran mau coba kehidupan dan berkarier tanpa JKT48,"" jawab Shani Indira Natio. "" Aku masih enjoy sih menikmati hidup yang bakal terjadi,"" tuturnya. Baru memutuskan lulus setelah 10 tahun bergabung, Shani mengaku karena nyaman. kemarin setelah jadi kapten ya sudahlah cukup,"" ungkapnya. Shani mengaku selama di JKT48 dirinya tak pernah melanggar aturan. Kalau aku ingat lebih ke tanggung jawab dan profesionalitas kita kerja. Satu hal yang kita lakukan bisa benar-benar berdampak buat banyak orang.",0.11764454
"Reza Rahadian-Mikha Tambayong Main Series 17+ di WeTV, Gimana Ceritanya?","Aktor yang telah membintangi berbagai film ini sering kali disebut sebagai aktor pemeran terbaik di Indonesia. Penampilan Reza pun kerap ditunggu-tunggu oleh banyak orang. Masalah muncul saat pernikahan Edi (Reza Rahadian) dan Elsa (Mikha Tambayong) memasuki usia 8 bulan, namun belum memperlihatkan tanda-tanda kehamilan. Meski demikian, Elsa berusaha mengerti kondisi Edi. Penasaran bagaimana kelanjutan rumah tangga Edi dan Elsa? Biar makin hemat, kamu bisa berlangganan WeTV pakai DANA di Google Play. Pasalnya, kamu hanya perlu bayar setengah harga dan bisa dapat DANA Points lho! Selain 'Kawin Tangan', ada banyak series dan film lainnya yang bisa kamu saksikan di WeTV. Kapan lagi bisa nonton banyak film dan series hanya dengan bayar setengah harga.",0.7815302
Cara Okie Agustina Berdamai dengan Pasha Ungu,"Hubungan Okie Guastina dan Pasha Ungu setelah bercerai pada 2009 rupanya membutuhkan waktu yang lama untuk keduanya kembali berdamai. Akhirnya aku ungkapkan semua kecewaan aku yang dulu. Ibu empat anak itu mengaku sudah berusaha untuk meredam ego dan berdamai dengan masa lalu agar perdamaian dengan vokalis grup band Ungu itu bisa tercapai. ""Tahapannya tuh nggak gampang dan nggak mudah. Karena aku harus berdamai dengan diri aku sendiri. ""Dulu kan mungkin ribut-ribut kayak gitu. Masih ego, masih merasa, Akunya aku juga masih merasa tersakiti lah. Tapi setelah kejadian kemarin sih yang kita ngobrol beberapa hari itu. Gimana caranya ini kedepan kita bersinergi untuk anak,"" terang Okie Agustina.",0.8701841
Thariq Halilintar dan Aaliyah Cari-cari Kue Jelang Pernikahan,"YouTuber Thariq Halilintar dan calon istrinya, Aaliyah Massaid, tengah mempersiapkan jelang hari bahagia. Segala hal tengah dicari, salah satunya kue pernikahan maupun dijadikan bingkisan. Thariq dan Aaliyah pun terlihat datang di Bridestory Fair 2024, Pondok Indah Mall, Jakarta Selatan, belum lama ini. ""Iya betul, aku sama Thariq cukup sering dan suka banget ke sini,"" timpal Aaliyah. Kendati begitu, keduanya tetap meminta doa terbaik agar dilancarkan hingga hari besar tersebut terlaksana. "" Benih cinta dan keteguhan hatinya sudah bergetar sejak awal dekat dengan anak penyanyi Reza Artamevia tersebut. "" Kalau aku, maunya hubungan ini ujungnya di pernikahan, bukan pacaran nggak jelas, nggak tahu mau ke mana,"" tandasnya.",0.67883277
"Thariq Halilintar Disebut Sudah Haji saat Usia 2 Bulan, Ibu: Mencairkan Suasana","Ibu Gen Halilintar, Lenggogeni Faruk Halilintar mengatakan tidak ada maksud apa pun usai menyebut Thariq Halilintar yang sudah ikut haji pada usia bulan. "" Ia pun menjelaskan kewajiban Thariq untuk melaksanakan haji setelah baligh harus tetap dijalankan. "" Bukan berarti gugur kewajiban Thariq buat haji lagi ya, itu harus benar-benar dijalankan lagi, kewajiban hajinya nggak luntur karena waktu itu kan ikut orang tua ya,"" terangnya lagi. Menurut Lenggogeni Faruk, hal tersebut sama sekali bukan masalah gelar haji tapi bagaimana menuju ke Tuhan untuk semua. "" Sebelumnya momen itu terlihat saat lamaran Thariq Halilintar dan Aaliyah Massaid. "" Ngomong-ngomong soal haji, Thariq ini sebenarnya sudah haji loh.",0.7063568
Suara Bergetar Risty Tagor Ceritakan Naik Haji Atas Undangan Raja Salman,"Selain Wirda Mansur, ada lagi selebritas Risty Tagor yang juga mendapatkan undangan haji dari Raja Salman. Risty Tagor mengatakan sama sekali tidak mengetahui adanya undangan untuk influencer untuk berangkat haji. Ia pun mengatakan undangan tersebut sangat cepat seperti kilat. Ia menceritakan ini dengan suara yang bergetar. "" Setelah selesai bernyanyi di salah satu tempat acara yang dimaksud, Risty Tagor mendapatkan tawaran dari salah satu orang untuk naik haji. "" Dia memang dewan media perwakilan dari Indonesia yang kenal dengan Kerajaan Saudi Arabia. Tapi tak disangka beberapa hari setelahnya perwakilan dewan media tersebut kembali menghubunginya melalui pesan singkat. Cuma kasih media sosial saja,"" sambungnya lagi. Jadi setelah itu aku kasih tahu ibu dan semua orang rumah, termasuk anak-anak,"" ceritanya. Risty Tagor mengaku hanya berprasangka baik kepada Allah SWT yang sudah mengatur semuanya. "" Karena aku tahu Indonesia itu jamaahnya banyak banget, yang ngantre juga luar biasa, tapi pas tahu dapat ini aku kayak langsung Allah mau aku lebih dekat dengan dia, Allah mau aku lebih khusyuk dengannya,"" tuturnya dengan menahan air mata.",0.116134085
Okie Agustina Sebut Gunawan Ada Komunikasi Baik Usai Disomasi,"Okie Agustina belum lama ini melayangkan somasi kepada mantan suaminya, Gunawan lantaran mobil yang diberikan untuk anaknya diambil sampai digadaikan. Okie Agustina mengatakan Gunawan sudah ada komunikasi baik dan menjalankan kewajibannya seperti biasanya. "" Ia menyebut sama sekali tidak ada niat untuk mempolisikan mantan suaminya itu. "" Sebelumnya Okie Agustina mengaku kesal dengan Gunawan yang tahu-tahu mengambil mobil yang sudah diberikan untuk anaknya. Hal ini berujung pada somasi yang dilayangkan Okie Agustina kepada Gunawan. Okie Agustina juga menanyakan hal ini kepada orang yang menjaga rumah tersebut. "" Terus dia bilang, 'Nggak perlu saya izin, itu mobil saya.' Akhirnya saya bilang, 'Tolong kembalikan mobilnya karena itu mobil Miro,'"" tutur Okie Agustina.",0.7809782
Respons Ayah soal Muhammad Fardhana Disebut Netizen Cowok Red Flag,"Beberapa waktu sebelum putusnya hubungan Ayu Ting Ting dan Muhammad Fardhana, ada netizen yang mengungkapkan sifat-sifat buruk dari anggota TNI berpangkat Letnan Satu itu. Buktinya sampai hari ini nggak ada, saya lihat dari temen ke temen, kalau ada ya silahkan buktinya,"" kata Dharsyi Akib saat ditemui di kawasan Condet, Jakarta Timur, Senin 1 Juli 2024 malam. Menurutnya, hal itu wajar terjadi terlebih saat itu putranya sedang dekat dengan salah seorang selebritas. Hubungan asmara pelantun Sambalado itu dengan Muhammad Fardhana telah kandas karena keduanya sudah sepakat mengakhiri pertunangannya. Dharsyi Akib tak mengetahui alasan dibalik putusnya hubungan tersebut. Sebagai orang tua, ia tak ingin mencampuri urusan lebih jauh. "" Saya nggak tahu, itu rahasia mereka, sebagai orang tua ya garis terakhirnya aja, sebagai orang tua nggak mau kepo karena apa,"" pungkasnya.",0.5364588
Ayu Ting Ting Putus dengan Muhammad Fardhana Bukan karena Ekonomi,"Ayu Ting Ting membantah rumor putus hubungan dengan Muhammad Fardhana karena masalah ekonomi. Ia mengatakan dirinya bukanlah tipe orang yang selalu meributkan masalah ekonomi. "" Saya tegaskan sekali lagi ya kalau dari masalah ekonomi saya nggak mungkin sampai sejauh ini. Kalau cuma memang masalah ekonomi dari awal pun sudah terima,"" tegas Ayu Ting Ting saat ditemui di kawasan Jakarta Selatan, Senin 1 Juli 2024 malam. Nggak ngaruh karena saya mau jadi artis, bukan itu nggak ngaruh,"" terangnya lagi. Papa sangat menyayangi saya dengan sangat baik, kalian bisa lihat sendiri dan saya menyayangi papa seperti orang tua saya sendiri. Janda satu anak itu juga menambahkan seluruh keluarga Muhammad Fardhana sangat menerima masa lalunya. """,0.84639525
Thariq Halilintar Bakal Berangkatin Umrah Netizen yang Komen 'Haji Thariq',"Thariq Halilintar memiliki cara yang berbeda saat banyak netizen membully dirinya lantaran ibunya menyebut sudah berangkat haji sejak usia dua bulan. ""Assalamualaikum dari Pak Haji KW, kelihatannya makin kreatif ya komentar-komentar baik di kolom komentarku dan di seluruh kolom komentar yang ada di internet,"" buka Thariq Halilintar dalam Instagram miliknya dilihat detikcom, Rabu 3 Juli 2024. Thariq Halilintar mendoakan semua yang memberikan komentar mengenai dirinya tentang haji Thariq agar bisa berangkat ke Tanah Suci untuk melaksanakan ibadah haji. Postingan itu langsung mendapatkan komentar dari netizen. Mereka menuangkan komentar-komentar kreatifnya dalam postingan Thariq Halilintar. "" bayi laen 2 bulan baru guling2, haji thoriq 2 bulan udah keliling ka'bah,"" kata akun heyrs****. "" Definisi omongan adalah doa bang, paham maksud umi sebenernya mau kasih tau aja kalo Umi bangga bisa ajak Abang itu naik Haji pas masih bayi. Bismillah HAJI THARIQ, semoga terpilih Aamiin @thariqhalilintar,"" jelas akun lainnya.",0.16574708
Rizky Billar Ajarkan Anak Ngaji Sejak Dini: Agama Pondasi Hidup,"Artis Rizky Billar sudah mengajarkan anaknya mengaji sejak dini. Bintang film Ashiap Man itu punya idola Sultan Muhammad Al Fatih yang sudah belajar agama sejak umur 2 tahun dan dirinya mau meniru hal tersebut. "" Rizky Billar juga senang dengan perkembangan putranya saat ini. Ia ingin sekali menjadi contoh baik untuk Levian. "" Sebagai orang tua ya senanglah punya anak yang cerdas, bagaimana kita bisa mengarahkannya dengan baik. Biar dia mengingat apa yang kita lakukan sebagai orang tua, menjaga ucapan dan sikap, benar-benar jadi contoh buat dia,"" katanya. Rizky Billar lalu bicara rencana liburan ke luar negeri bareng keluarga. Dari awal kami lagi produksi series sampai 150 episode, menghabiskan waktu dan tenaga selesai 2027, alhamdulillah dapat kepercayaan buat dua program.",0.7433654
Hadiah Spesial Yura Yunita ke Gempi Usai Sering Nonton Konser-Suka Lagunya,"Penyanyi Yura Yunita memberikan hadiah spesial untuk anak Gading Marten dan Gisel. Ia menciptakan sebuah lagu yang dinyanyikan oleh Gempi. Yura menyebut lagunya sebenarnya sudah ada sejak tahun lalu. Akhirnya kemarin waktu yang pas kita meramu. Yura Yunita menciptakan single perdana untuk Gempi secara 'ajaib'. Sebab hal itu dikatakannya terjadi dengan mengalir begitu saja. "" Aku penginnya nanti bisa dinyanyikan sekolah-sekolah di Indonesia dengan anak-anak lagunya relate dan sangat ceria, cocok dengan pecinta alam juga, aku lihat Gempi ini anak kecil yang superestetik,"" katanya. Yura juga mengaku tak terlalu kesulitan saat proses rekaman dengan Gempi. Ia sangat tak sabar lagunya bisa rilis ke publik. "" Pasti ada ikutin mood-nya dulu, ternyata Gempi semangat kalau ada nugget ya.",0.6492394
Juliette Angela Minta Hak Asuh Anak pada Sexy Goath,"Juliette Angela tidak menghadiri sidang cerai perdananya dengan Sexy Goath di Pengadilan Negeri Jakarta Selatan karena sedang tidak sehat. Kuasa hukum Juliette Angela, La Radi Eno enggan membeberkan apa alasan kliennya menggugat cerai rapper Martin Sexy Goath. Mediasi akan digelar pada Rabu 3 Juli 2024 besok dan ia berharap Juliette Angela bisa segera sembuh agar dapat melakukan mediasi. "" Diketahui, Juliette Angela mendaftarkan gugatan cerai setelah dugaan perselingkuhannya itu heboh di media sosial. Lebih lanjut, Martin Sexy Goath mengungkapkan kalau istrinya pergi dari rumah sepulang dari Bangkok tanpa membawa anaknya. """,0.9190494
Gisel Ungkap Moodbooster Gempi Saat Berkegiatan: Harus Ada Ayam Goreng,"Artis Gisella Anastasia mengungkapkan putrinya sudah punya banyak kegiatan, mulai dari formal dan non formal. Mantan istri Gading Marten itu tak menampik selayaknya anak kecil pada umumnya, Gempita Nora Marten, moody-an. Namun, Gisel sudah punya cara mengatasi hal tersebut. Pada hari H dibuat banyak bermain, normal, dan natural saja, Yura dan Doni kan sama anak-anak gemesan juga ternyata, Gempi-nya nyaman, diarahin sedikit pelan-pelan,"" tuturnya. Gisel mengatakan anaknya sebenarnya tak tertarik menyanyi. Ia tak sabar menantikan perilisan single perdana Gempi. "" Lagunya sudah dibikin dari lama, dari tahun lalu. Punya sesuatu yang manis dan ringan pas dibawa Gempi,"" pungkasnya.",0.82184964
"Juliette Angela Pergi dari Rumah, Tinggalkan Anak dengan Sexy Goath","Rapper Sexy Goath tengah menjalani sidang cerai dengan istrinya, Juliette Angela, di Pengadilan Negeri Jakarta Selatan. Permasalahan bermula saat rapper bernama asli itu mengungkapkan soal dugaan perselingkuhan antara istrinya dengan musisi Anji. Setelahnya, Juliette Angela langsung mendaftarkan gugatan cerai dan pergi dari rumah. ""Sudah tidak serumah, dia keluar rumah setelah ramai kemarin,"" kata Martin Sexy Goath saat ditemui di Pengadilan Negeri Jakarta Selatan, Senin 1 Juli 2024. Saya juga suka kasih lihat video ibunya ke anak, karena bagaimana pun dia tetap ibu dari anak kami,"" ujar Sexy Goath. Kita selesaikan bersama-sama,"" pungkasnya.",0.8944514
Alasan Juliette Angela Gugat Cerai Martin Sexy Goath,"Penyanyi Juliette Angela menggugat cerai suaminya, Sexy Goath ke Pengadilan Negeri Jakarta Selatan. Ada tiga hal yang menjadi dasar Juliette Angela menggugat cerai suaminya. Namun, pihak Sexy Goath hanya mengungkapkan salah satunya. "" Bang Martin dianggap tidak bertanggung jawab,"" kata kuasa hukum Martin Sexy Goath, Deddy DJ, saat ditemui di Pengadilan Negeri Jakarta Selatan, Senin 1 Juli 2024. Pihak Martin Sexy Goath tidak setuju dengan alasan tersebut. Contohnya, rapper dengan nama asli Reinaldo Martin Diyo itu sampai buka suara di media sosial tentang dugaan perselingkuhan istrinya. "" Lebih lanjut, Martin Sexy Goath mengungkapkan kalau istrinya pergi dari rumah sepulang dari Bangkok tanpa membawa anaknya. """,0.8502761
Sexy Goath Kecewa Digugat Cerai Juliette Angela,"Penyanyi Juliette Angela melayangkan gugatan cerai pada suaminya, rapper Sexy Goath ke Pengadilan Negeri Jakarta Selatan. ""Gugatannya terlihat sudah dipersiapkan secara matang sama pihak istri saya, padahal saya selalu dalam agama kami apapun masalahnya harus selalu taat untuk tidak berpisah, ini terlihat sudah dipersiapkan secara matang,"" tutur Sexy Goath. Agenda hari ini merupakan mediasi antara kedua belah pihak. Menurutnya dalam persidangan nanti kebenaran akan terungkap. "" Kami tentunya sudah siap, apapun yang mereka dalilkan, kami siap membuktikan. Justru, ini menjadi jawaban, dengan Juliette melayangkan gugatan, ini menjadi jawaban. Kalau nggak ada masalah, nggak mungkin melakukan gugatan,"" ucap Deddy DJ. Namun, mantan vokalis grup band Drive itu membantah dengan tegas dan mengatakan kepergiannya ke Bangkok dengan Juliette Angela merupakan untuk pembuatan video klip.",0.67004186
